time,rpm,duty_cycle,v_in,c_in,c_motor,temp_motor,time_ms,amp_hours,amp_hours_charged,motor_wattage,v_out
1741632634.244999,0.0,0.0,45.2,0.0,-1.22,-81.9,14613580.0,0.0,0.0,-0.0,0.0
1741632634.2945642,0.0,0.0,45.0,0.0,-1.22,-81.7,14417098.0,0.0,0.0,-0.0,0.0
1741632634.3447092,0.0,0.0,45.0,0.0,-1.24,-81.2,14548170.0,0.0,0.0,-0.0,0.0
1741632634.4443967,0.0,0.0,45.2,0.0,-1.21,-80.6,14482694.0,0.0,0.0,-0.0,0.0
1741632634.4944513,0.0,0.0,45.0,0.0,-1.26,-79.6,14482634.0,0.0,0.0,-0.0,0.0
1741632634.5444994,0.0,0.0,45.1,0.0,-1.22,-79.2,14548134.0,0.0,0.0,-0.0,0.0
1741632634.594507,0.0,0.0,45.2,0.0,-1.21,-78.9,14548083.0,0.0,0.0,-0.0,0.0
1741632634.6448846,0.0,0.0,45.0,0.0,-1.22,-79.1,14548153.0,0.0,0.0,-0.0,0.0
1741632634.9446704,0.0,0.0,45.1,0.0,-1.31,-79.9,14613619.0,0.0,0.0,-0.0,0.0
1741632634.9941478,0.0,0.0,45.2,0.0,-1.23,-79.7,14548170.0,0.0,0.0,-0.0,0.0
1741632635.0449917,0.0,0.0,45.0,0.0,-1.24,-79.3,14548153.0,0.0,0.0,-0.0,0.0
1741632635.0947416,0.0,0.0,44.9,0.0,-1.25,-79.3,14613706.0,0.0,0.0,-0.0,0.0
1741632635.1946104,0.0,0.0,44.9,0.0,-1.17,-80.2,14613706.0,0.0,0.0,-0.0,0.0
1741632635.2448196,0.0,0.0,45.0,0.0,-1.18,-80.9,14613706.0,0.0,0.0,-0.0,0.0
1741632635.2947805,0.0,0.0,45.1,0.0,-1.2,-82.0,14548083.0,0.0,0.0,-0.0,0.0
1741632635.345267,0.0,0.0,45.2,0.0,-1.17,-82.2,14548044.0,0.0,0.0,-0.0,0.0
1741632635.3941267,0.0,0.0,45.0,0.0,-1.21,-82.7,14482617.0,0.0,0.0,-0.0,0.0
1741632635.444617,0.0,0.0,45.0,0.0,-1.28,-82.0,14548170.0,0.0,0.0,-0.0,0.0
1741632635.4943376,0.0,0.0,45.2,0.0,-1.27,-81.0,14482617.0,0.0,0.0,-0.0,0.0
1741632635.593858,0.0,0.0,45.2,0.0,-1.26,-80.4,14548170.0,0.0,0.0,-0.0,0.0
1741632635.6442387,0.0,0.0,45.0,0.0,-1.22,-80.2,14548170.0,0.0,0.0,-0.0,0.0
1741632635.695531,0.0,0.0,45.2,0.0,-1.25,-80.4,14482634.0,0.0,0.0,-0.0,0.0
1741632635.7940495,0.0,0.0,44.9,0.0,-1.22,-82.4,14611797.0,0.0,0.0,-0.0,0.0
1741632635.8443036,0.0,0.0,45.2,0.0,-1.21,-82.3,14482617.0,0.0,0.0,-0.0,0.0
1741632635.8941839,0.0,0.0,45.1,0.0,-1.24,-81.8,14548153.0,0.0,0.0,-0.0,0.0
1741632635.9453843,0.0,0.0,45.0,0.0,-1.23,-82.0,14613517.0,0.0,0.0,-0.0,0.0
1741632635.9945352,0.0,0.0,45.1,0.0,-1.33,-82.2,14613756.0,0.0,0.0,-0.0,0.0
1741632636.044091,0.0,0.0,44.9,0.0,-1.25,-81.6,14482617.0,0.0,0.0,-0.0,0.0
1741632636.0944455,0.0,0.0,45.3,0.0,-1.3,-81.9,14613706.0,0.0,0.0,-0.0,0.0
1741632636.1940265,0.0,0.0,45.5,0.0,-1.22,-81.8,14679225.0,0.0,0.0,-0.0,0.0
1741632636.294503,0.0,0.0,45.2,0.0,-1.29,-82.0,14482575.0,0.0,0.0,-0.0,0.0
1741632636.3456633,0.0,0.0,45.2,0.0,-1.3,-81.6,14679242.0,0.0,0.0,-0.0,0.0
